Date ,Returns 
22-Jan-01,-0.0206
23-Jan-01,-0.0084
24-Jan-01,-0.0099
25-Jan-01,0.0074
26-Jan-01,0.0005
29-Jan-01,-0.0118
30-Jan-01,0.0309
31-Jan-01,0.0393
1-Feb-01,-0.0059
2-Feb-01,-0.0284
5-Feb-01,-0.0164
6-Feb-01,0.0162
7-Feb-01,-0.007
8-Feb-01,0.0093
9-Feb-01,0.0011
12-Feb-01,0.0027
13-Feb-01,0.0017
14-Feb-01,0.0056
15-Feb-01,-0.0046
16-Feb-01,0.0015
19-Feb-01,0.0035
20-Feb-01,0.0109
21-Feb-01,-0.0236
22-Feb-01,-0.0065
23-Feb-01,-0.0058
27-Feb-01,-0.0077
28-Feb-01,-0.0084
1-Mar-01,-0.0065
2-Mar-01,0.0161
5-Mar-01,0.0042
6-Mar-01,0.0006
7-Mar-01,-0.0036
8-Mar-01,0.0298
9-Mar-01,-0.0041
12-Mar-01,-0.006
13-Mar-01,-0.0078
14-Mar-01,-0.0427
15-Mar-01,0.0206
16-Mar-01,-0.0026
19-Mar-01,-0.0128
20-Mar-01,0.0134
21-Mar-01,-0.0112
22-Mar-01,-0.0133
23-Mar-01,0.0075
26-Mar-01,0.0135
27-Mar-01,-0.0069
28-Mar-01,-0.0043
29-Mar-01,-0.0122
30-Mar-01,0.0065
2-Apr-01,-0.0022
3-Apr-01,-0.014
4-Apr-01,0.002
5-Apr-01,0.024
6-Apr-01,0.0012
9-Apr-01,-0.0085
10-Apr-01,0.0148
11-Apr-01,0.0057
12-Apr-01,0.0309
17-Apr-01,0.0161
18-Apr-01,0.0414
19-Apr-01,-0.009
20-Apr-01,-0.0059
23-Apr-01,-0.0035
24-Apr-01,-0.0119
25-Apr-01,0.0011
26-Apr-01,0.0036
27-Apr-01,0.0046
30-Apr-01,0.0082
2-May-01,-0.0081
3-May-01,-0.014
4-May-01,-0.0034
7-May-01,-0.0091
8-May-01,0.001
9-May-01,-0.0162
10-May-01,-0.0041
11-May-01,-0.0013
14-May-01,-0.0244
15-May-01,-0.0111
16-May-01,0.0081
